ccd,bit,n_bpm1,n_bpm2,pcent_bpm1,pcent_bpm2,diff
17,8192,204800,204800,2.44140625,2.44140625,0
17,16384,126132,126132,1.503610610961914,1.503610610961914,0
18,0,8045541,8045540,95.91032266616821,95.91031074523926,1
18,1,14330,14330,0.17082691192626953,0.17082691192626953,0
18,2,72033,72853,0.8587002754211426,0.8684754371643066,-820
18,4,0,0,0.0,0.0,0
18,8,0,0,0.0,0.0,0
18,16,0,1,0.0,1.1920928955078125e-05,-1
18,32,0,0,0.0,0.0,0
18,64,0,0,0.0,0.0,0
18,128,183420,183420,2.1865367889404297,2.1865367889404297,0
18,256,0,0,0.0,0.0,0
18,512,0,0,0.0,0.0,0
18,1024,8192,8192,0.09765625,0.09765625,0
18,2048,0,0,0.0,0.0,0
18,4096,0,0,0.0,0.0,0
18,8192,204800,204800,2.44140625,2.44140625,0
18,16384,95604,95604,1.139688491821289,1.139688491821289,0
19,0,8041727,8041726,95.86485624313354,95.86484432220459,1
19,1,14372,14373,0.1713275909423828,0.1713395118713379,-1
19,2,83668,84506,0.9974002838134766,1.007390022277832,-838
19,4,0,0,0.0,0.0,0
19,8,0,0,0.0,0.0,0
19,16,0,1,0.0,1.1920928955078125e-05,-1
19,32,0,0,0.0,0.0,0
19,64,0,0,0.0,0.0,0
19,128,183420,183420,2.1865367889404297,2.1865367889404297,0
19,256,0,0,0.0,0.0,0
19,512,0,0,0.0,0.0,0
19,1024,0,0,0.0,0.0,0
19,2048,19,20,0.00022649765014648438,0.0002384185791015625,-1
19,4096,0,0,0.0,0.0,0
19,8192,204800,204800,2.44140625,2.44140625,0
19,16384,107979,107979,1.2872099876403809,1.2872099876403809,0
20,0,8031745,8031742,95.74586153030396,95.74582576751709,3
20,1,15186,15187,0.1810312271118164,0.18104314804077148,-1
20,2,88806,88987,1.058650016784668,1.060807704925537,-181
20,4,0,0,0.0,0.0,0
20,8,0,0,0.0,0.0,0
20,16,0,3,0.0,3.5762786865234375e-05,-3
20,32,0,0,0.0,0.0,0
20,64,0,0,0.0,0.0,0
20,128,183420,183420,2.1865367889404297,2.1865367889404297,0
20,256,0,0,0.0,0.0,0
20,512,3240,3240,0.038623809814453125,0.038623809814453125,0
20,1024,0,0,0.0,0.0,0
20,2048,85,85,0.0010132789611816406,0.0010132789611816406,0
20,4096,0,0,0.0,0.0,0
20,8192,204800,204800,2.44140625,2.44140625,0
20,16384,115494,115494,1.376795768737793,1.376795768737793,0
21,0,8037357,8037355,95.81276178359985,95.81273794174194,2
21,1,14350,14350,0.1710653305053711,0.1710653305053711,0
21,2,96643,97379,1.1520743370056152,1.1608481407165527,-736
21,4,0,0,0.0,0.0,0
21,8,0,0,0.0,0.0,0
21,16,1,3,1.1920928955078125e-05,3.5762786865234375e-05,-2
21,32,0,0,0.0,0.0,0
21,64,0,0,0.0,0.0,0
21,128,183420,183420,2.1865367889404297,2.1865367889404297,0
21,256,0,0,0.0,0.0,0
21,512,0,0,0.0,0.0,0
21,1024,0,0,0.0,0.0,0
21,2048,8,8,9.5367431640625e-05,9.5367431640625e-05,0
21,4096,0,0,0.0,0.0,0
21,8192,204800,204800,2.44140625,2.44140625,0
21,16384,113871,113871,1.3574481010437012,1.3574481010437012,0
22,0,8023267,8023270,95.6447958946228,95.64483165740967,-3
22,1,14352,14353,0.17108917236328125,0.17110109329223633,-1
22,2,90085,90365,1.073896884918213,1.0772347450256348,-280
22,4,0,0,0.0,0.0,0
22,8,0,0,0.0,0.0,0
22,16,1,1,1.1920928955078125e-05,1.1920928955078125e-05,0
22,32,0,0,0.0,0.0,0
22,64,0,0,0.0,0.0,0
22,128,183420,183420,2.1865367889404297,2.1865367889404297,0
22,256,0,0,0.0,0.0,0
22,512,0,0,0.0,0.0,0
22,1024,0,0,0.0,0.0,0
22,2048,4105,4101,0.0489354133605957,0.04888772964477539,4
22,4096,0,0,0.0,0.0,0
22,8192,204800,204800,2.44140625,2.44140625,0
22,16384,125051,125051,1.4907240867614746,1.4907240867614746,0
23,0,8020711,8020711,95.61432600021362,95.61432600021362,0
23,1,14365,14366,0.17124414443969727,0.17125606536865234,-1
